NPD_WELL_BORE_NAME,DATEPRD,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,ON_STREAM_HRS,WATER_CUT,GOR,OIL_PER_HR,KMeans_Cluster,Ward_Cluster
15/9-F-12,2009-08,112414.27,15676349.96,5024.01,589.075,0.04278000324936639,139.45160129581413,190.83184653906548,1,1
15/9-F-12,2009-09,90098.89,12553421.69,2235.08,493.25,0.024206475688200127,139.32937120535001,182.66374049670551,1,1
15/9-F-12,2009-10,126939.65,17819694.28,6812.79,683.74166,0.0509358184418916,140.3792611685947,185.65440344822633,1,1
15/9-F-12,2009-11,136015.68,19181583.58,11286.87,705.75001,0.07662372443654235,141.02479640582615,192.7250132097058,1,1
15/9-F-12,2009-12,158001.52,22160862.45,17321.2,728.5,0.09879609442518346,140.25727379078378,216.88609471516813,1,1
15/9-F-12,2010-01,149658.83,21044604.02,30230.27,742.16666,0.168049481597273,140.61718924302696,201.6512436707949,1,1
15/9-F-12,2010-02,103026.0,14520589.94,43215.66,608.725,0.29550854387183517,140.94102401335584,169.24883978808165,1,1
15/9-F-12,2010-03,101571.61,14278518.8,53998.5,647.66666,0.3471007380530875,140.57588335953324,156.82698565956753,1,1
15/9-F-12,2010-04,86253.61,12161145.93,67996.09,705.99999,0.4408182965671894,140.99289212358764,122.17225385513107,1,0
15/9-F-12,2010-05,77113.56,10970381.3,74438.31,733.16667,0.49117381395557835,142.26267468393368,105.17875833062624,1,0
15/9-F-12,2010-06,69617.37,9944534.27,83268.36,717.16667,0.5446444216867069,142.84558968544775,97.07279062480693,1,0
15/9-F-12,2010-07,64039.69,9283376.77,95054.15,742.33334,0.5974722214260464,144.96286240611096,86.26810429934348,0,0
15/9-F-12,2010-08,30117.36,4346504.25,54787.65,427.43334,0.6452817095245615,144.31889946529176,70.46095187614519,0,0
15/9-F-12,2010-09,51312.93,7750210.88,89428.8,644.74999,0.635410691626428,151.03816679343782,79.58577866748008,0,0
15/9-F-12,2010-10,51430.58,7741377.24,99542.87,743.00001,0.6593402349883373,150.5209009892558,69.22016057577173,0,0
15/9-F-12,2010-11,44468.45,6747077.64,102235.65,690.33333,0.696883386353892,151.72729519468297,64.41591049935253,0,0
15/9-F-12,2010-12,45217.96,6910660.46,111335.89,741.33333,0.7111667327248739,152.82999188817894,60.99544991454788,0,0
15/9-F-12,2011-01,44746.55,6824000.89,116885.54,743.5,0.7231580065567426,152.50339724515072,60.183658372562206,0,0
15/9-F-12,2011-02,29157.49,4519227.07,85274.18,557.24999,0.745197374118546,154.99369355867051,52.32389506189134,0,0
15/9-F-12,2011-03,37395.05,5760219.21,113239.35,729.83334,0.7517496003568905,154.03694365965546,51.237793548866925,0,0
15/9-F-12,2011-04,37819.72,5877460.87,116196.38,717.91667,0.7544430744578002,155.40730788065062,52.67981867589174,0,0
15/9-F-12,2011-05,37204.71,5801740.29,119567.47,736.04167,0.7626829581626026,155.9410163390603,50.54701590468377,0,0
15/9-F-12,2011-06,22026.06,3412025.77,74563.44,463.26667,0.7719621698010654,154.90858419526688,47.54509967229026,0,0
15/9-F-12,2011-07,12462.42,1823751.35,31887.510000000002,245.24669,0.718997978125332,146.3400647707267,50.815854028447845,0,0
15/9-F-12,2011-08,36380.15,5446516.53,99004.87,651.49332,0.731283786049594,149.71121696859413,55.841171172714404,0,0
15/9-F-12,2011-09,29999.17,4566406.76,110471.84,707.0,0.7864387107346917,152.2177700249707,42.43164073550212,0,0
15/9-F-12,2011-10,12647.5,1919664.23,52875.8,325.66166,0.8069770600687084,151.78210950780786,38.83631865046687,0,0
15/9-F-12,2011-11,21789.05,3242433.68,75772.93,459.33334,0.7766645367385943,148.81023633430556,47.43624749729684,0,0
15/9-F-12,2011-12,18090.2,2650493.31,64676.69,424.82166,0.7814319228377434,146.51542326784667,42.583045318357826,0,0
15/9-F-12,2012-01,18217.85,2722573.45,63857.71,399.65834,0.7780356296076445,149.44537637536814,45.583560197943065,0,0
